Grupo;C�digo de barras;Art�culo;deposito 1;deposito 2;deposito 3;deposito 4;deposito 5
MUEBLES ACCESORIOS;MACCH-PRES-15;PORTARESIDUOS INOX HAFELE DE15 LTS;;;;3;
PILETAS CERAMICAS CERART;PCCALBI-AZUL;PILETA C. CERART ALBI AZUL APOYAR;;;1;;
PILETAS CERAMICAS CERART;PCCALBI-B-A;PILETA C. CERART ALBI BCA APOYAR;5;;1;;
PILETAS CERAMICAS CERART;PCCALBI-ROJO;PILETA C. CERART ALBI ROJO APOYAR;;;1;;
PILETAS CERAMICAS CERART;PCCARG-BCA;PILETA C. CERART ARGENTA BCA;1;;1;;
PILETAS CERAMICAS CERART;PCCARG-NEG;PILETA C. CERART ARGENTA NEGRA;;;1;;
PILETAS CERAMICAS CERART;PCCCOLSM;PILETA C. COLUMBIA SOBRE MESADA;1;;;;1
PILETAS CERAMICAS CERART;PCCCOLUMBMES;PILETA C. COLUMBIA BAJO MESADA;1;;;;
PILETAS CERAMICAS CERART;PCCKOBE-BCA-A;PILETA C. CERART KOBE BCA APOYAR;2;;1;;
PILETAS CERAMICAS CERART;PCCKOBE-ROJO-A;PILETA C. CERART KOBE ROJO APOYAR;;;1;;
PILETAS CERAMICAS CERART;PCCMICHEL-BCO;PILETA C. CERART MICHEL  BCA EMBUTIR;2;;1;;
PILETAS CERAMICAS CERART;PCCPARIS-GDE-BCA -E;PILETA C. CERART PARIS GRANDE  BCA  EMBUTIR;;;1;;
PILETAS CERAMICAS CERART;PCCPARIS-GDE-PPA;PILETA C. CERART PARIS GRANDE  BCA  P/ABAJO;3;;;;
PILETAS CERAMICAS CERART;PCCPROV-GDE-BCA-E;PILETA C. CERART PROVENZAL GRANDE  BCA  EMBUTIR;2;;;;
PILETAS CERAMICAS CERART;PCCPROVCH-BCA-A;PILETA C. CERART PROVENZAL CHICA BCA  APOYAR;;;1;;
PILETAS CERAMICAS CERART;PCCREMIS-CH-LISA-BCA-PPA;PILETA C. CERART REIMS CHICA BCA P P/ ABAJO;;;1;;
PILETAS CERAMICAS CERART;PCCRODEZ-BCA-A;PILETA C. CERART RODEZ BCA APOYAR;3;;;;
PILETAS CERAMICAS CERART;PCCTANA-CMAND-A;PILETA C. CERART TANABE COLOR MANDARINA  APOYAR;;;1;;
PILETAS CERAMICAS CERART;PCCTANA-CROJO-A;PILETA C. CERART TANABE COLOR ROJO  APOYAR;;;1;;
PILETAS DACCORD;AD-AGAROIMP 14;AGARRADERAS CURVAS ACERO INOX 135� 45 CM;;;1;;
TARJETA GRAFICA;NVIDIA-1650-S;TARJETA GRAFICA NVIDIA 1650 SUPER;;;1;;
TARJETA GRAFICA;NVIDIA-1660-S;TARJETA GRAFICA NVIDIA 1660 SUPER;;;1;;
TARJETA GRAFICA;NVIDIA-2060-S;TARJETA GRAFICA NVIDIA 2060 SUPER;2;;;;
TARJETA GRAFICA;NVIDIA-2070-S;TARJETA GRAFICA NVIDIA 2070 SUPER;;;1;;
TARJETA GRAFICA;NVIDIA-2080-S;TARJETA GRAFICA NVIDIA 2080 SUPER;1;;;;
